from,rel,to
http://www.wikidata.org/entity/Q3620831,http://www.wikidata.org/prop/direct/P1476,Apparition de la Vierge à saint Jacques le Majeur
http://www.wikidata.org/entity/Q3399458,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q15680039
http://www.wikidata.org/entity/Q9401827,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q42804
http://www.wikidata.org/entity/Q3206722,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q194189
http://www.wikidata.org/entity/Q3873242,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q56856850
http://www.wikidata.org/entity/Q2633689,http://www.w3.org/2000/01/rdf-schema#label,Portrait de Simonetta Vespucci
http://www.wikidata.org/entity/Q476458,http://www.wikidata.org/prop/direct/P88,http://www.wikidata.org/entity/Q7732
http://www.wikidata.org/entity/Q3851966,http://www.w3.org/2004/02/skos/core#altLabel,Mystic Marriage of Saint Catherine
http://www.wikidata.org/entity/Q3399430,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q5791685,http://www.w3.org/2000/01/rdf-schema#label,Christ en croix adoré par deux donateurs
http://www.wikidata.org/entity/Q17491812,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q11722446
http://www.wikidata.org/entity/Q334138,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q23402
http://www.wikidata.org/entity/Q17491812,http://schema.org/description,painting by Jean-Léon Gérôme
http://www.wikidata.org/entity/Q3222518,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q201097
http://www.wikidata.org/entity/Q2428778,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q538906
http://www.wikidata.org/entity/Q3292681,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q3211034,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q3329184
http://www.wikidata.org/entity/Q476458,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q3044768
http://www.wikidata.org/entity/Q15707415,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q12791
http://www.wikidata.org/entity/Q3373686,http://schema.org/description,painting by Nicolas Poussin
http://www.wikidata.org/entity/Q2413789,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q734844
http://www.wikidata.org/entity/Q4429116,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q660281
http://www.wikidata.org/entity/Q6727098,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q14973416
http://www.wikidata.org/entity/Q16928483,http://schema.org/description,tableau de Francisco de Goya
http://www.wikidata.org/entity/Q5966403,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q17457083
http://www.wikidata.org/entity/Q1167178,http://schema.org/description,tableau de Gustave Courbet
http://www.wikidata.org/entity/Q3066077,http://www.wikidata.org/prop/direct/P1476,Peasant Family in An Interior
http://www.wikidata.org/entity/Q476458,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2457980
http://www.wikidata.org/entity/Q3788155,http://www.wikidata.org/prop/direct/P373,Portrait of Helena Fourment (1614-1673) with two of her children
http://www.wikidata.org/entity/Q38403891,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q128267
http://www.wikidata.org/entity/Q3646498,http://www.w3.org/2004/02/skos/core#altLabel,The Slaughtered Ox
http://www.wikidata.org/entity/Q3622074,http://www.wikidata.org/prop/direct/P2048,74.5
http://www.wikidata.org/entity/Q3399430,http://www.wikidata.org/prop/direct/P6216,http://www.wikidata.org/entity/Q19652
http://www.wikidata.org/entity/Q23008971,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q19507487
http://www.wikidata.org/entity/Q1239950,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q662860
http://www.wikidata.org/entity/Q3705716,http://www.w3.org/2000/01/rdf-schema#label,Le Transport du Christ au tombeau
http://www.wikidata.org/entity/Q21121925,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q2946
http://www.wikidata.org/entity/Q1848811,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q1474884
http://www.wikidata.org/entity/Q3788155,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q52154279
http://www.wikidata.org/entity/Q3080509,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q3039121
http://www.wikidata.org/entity/Q591128,http://www.wikidata.org/prop/direct/P373,Portrait of Isabella d'Este by Leonardo da Vinci
http://www.wikidata.org/entity/Q9397467,http://www.w3.org/2004/02/skos/core#altLabel,Un Miracle du frère Francisco
http://www.wikidata.org/entity/Q2561558,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1323314
http://www.wikidata.org/entity/Q1857132,http://www.w3.org/2004/02/skos/core#altLabel,Toits de Paris
http://www.wikidata.org/entity/Q633587,http://www.wikidata.org/prop/direct/P2048,103
http://www.wikidata.org/entity/Q3788155,http://www.w3.org/2004/02/skos/core#altLabel,"Hélène Fourment (1614-1673), seconde femme de Rubens et ses enfants"
http://www.wikidata.org/entity/Q538243,http://schema.org/description,tableau de Raphaël
http://www.wikidata.org/entity/Q1799047,http://www.w3.org/2000/01/rdf-schema#label,La Pâtisserie Gloppe
http://www.wikidata.org/entity/Q6508106,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q355304
http://www.wikidata.org/entity/Q3937621,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology#Item
http://www.wikidata.org/entity/Q29654799,http://www.w3.org/2000/01/rdf-schema#label,Environs de Honfleur neige
http://www.wikidata.org/entity/Q29654799,http://www.wikidata.org/prop/direct/P6216,http://www.wikidata.org/entity/Q19652
http://www.wikidata.org/entity/Q68697473,http://www.w3.org/2000/01/rdf-schema#label,Paysage fluvial
http://www.wikidata.org/entity/Q47512127,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q17627398,http://www.wikidata.org/prop/direct/P1476,Portrait of Catharina Both van der Eem (1589-1666)
http://www.wikidata.org/entity/Q15934578,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2984138
http://www.wikidata.org/entity/Q24011,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q15876329,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q667999
http://www.wikidata.org/entity/Q2529918,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8441
http://www.wikidata.org/entity/Q3814745,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5599
http://www.wikidata.org/entity/Q17582581,http://www.wikidata.org/prop/direct/P1476,Tu Marcellus Eris
