entity,text
http://www.wikidata.org/entity/Q3464047,"

Saint Roch Interceding with the Virgin for the Plague-Stricken is an early religious painting by the French artist Jacques-Louis David. It shows Saint Roch interceding to the Virgin Mary and Christ Child for the plague sufferers shown around him. He painted it in 1780 during his stay at the Villa Medici in Rome after winning first prize for painting in the Prix de Rome (before his Portrait of count Stanislas Potocki) and exhibited it at the 1781 Paris Salon on his return to France. While in Rome he was much influenced by the works of Caravaggio, Poussin, Guercino and Lebrun. He was determined not to be seduced by the Italian baroque style, declaring ""the Antique will not seduce me, it lacks animation, it does not move"". Nevertheless, he filled twelve sketchbooks with drawings while he was in Rome, and he and his studio used them as models for the rest of his life.[1][2]

Saint Roch is, among other things, the patron saint of invalids, and is specially invoked against the plague. Having recovered from the illness himself, he is portrayed as a pilgrim with a staff and a bubo on his thigh (a relic of his illness), and is often accompanied by a dog, representing the dog that brought him bread and licked his wounds when he was ill.[3]

In the painting, Saint Roch is in the middle on the right, looking up at the Virgin Mary and the Christ Child at top left. Saint Roch is recognisable from his pilgrim's attire, the bubo on his leg and the dog behind him. He is pleading to Mary for her intercession. To the bottom left is a tight-knit group of sufferers sitting and lying on the ground. Mary is dressed in bright blue and red robes and is playing with the Baby, seemingly indifferent to the plight of the men below. They are painted in sombre browns and greys, and their suffering is emphasized by a glimpse in the middle distance on the right of victims lying in a stupor and being carried away in a cart.[4]

The picture is an oil-on-canvas work measuring 260 by 195 cm (102 by 77 in). It is now in the Musée des beaux-arts de Marseille, France.[5]

The picture has been compared to, and may have been influenced by, Christ Appointing Saint Roch as Patron Saint of Plague Victims, a 1623-1626 altarpiece by Peter Paul Rubens. In Rubens's picture, the plague victims are hopeful, seeing Saint Roch and Christ above them as their saviours, about to cure them. David's victims on the other hand are apathetic, they see themselves as doomed; one gazes at the viewer in silent reproach, another makes a frantic movement that seems to lack purpose, and a third looks up at Saint Roch and the Virgin Mary with closed eyes.  Even Saint Roch and the Virgin Mary appear unconnected as if separated by a glass screen. He looks up and pleads with her but their hands do not touch; she seems unaware of his presence and is gesturing towards something in the middle distance.[4]
"
http://www.wikidata.org/entity/Q5454994,"Fishing (or Fishing Scene) is a painting by Italian artist Annibale Carracci, painted before 1595 and given to Louis XIV by Prince Camillo Pamphili in 1665.  It is currently held and exhibited at the Louvre in Paris.

The painting and its companion, Hunting, were included in Charles Le Brun's inventory in 1683, and in November 1695 they were in the apartments of King Louis XIV's younger brother. It was no doubt for this purpose that they were given two sumptuous gilt frames, each with attributes suited to the subject of the painting - among the finest examples of the art of frame-making in the time of Louis XIV. In 1955, when the varnish was being cleaned, the 19th century gilding covering the original gilding was removed - a task of some magnitude which was carried out by the French firm of Lebrun.[1]

This work, together with its companion, date from Carracci's Bolognese period, before he left for Rome in 1595 to paint at the Galleria Farnese. At this time he was extremely interested in landscape, and his experiments are a foreshadowing of Poussin's classical compositions; but in these pictures he is exploring in a different direction, in the tradition of the Bassani, a family of painters whose studios continued to turn out landscapes which were prized all over Europe. His interest was the countryside. Without any religious theme as pretext, he painted two pure landscapes whose true subjects are the forest and the river, motivated by the themes of hunting and fishing. Therefore, Carracci was able to show nature animated with the life of the aristocracy and of ordinary people. The composition follows the visual device of division into compartments.[2]

Together with the Galleria Farnese, the two thematic paintings are Carracci's greatest masterpieces, and have always been much admired by artists. Manet found inspiration in the Fishing, and the Hunting has been copied by Matisse, Edvard Munch and Rouault.[3]
"
http://www.wikidata.org/entity/Q18573258,"Self Portrait is a self-portrait by Tintoretto, dating to around 1588. It was in the Orleans Collection before it was bought for Marie Antoinette with the Château de Saint-Cloud in 1785. It is now in the Louvre, in Paris.

This article about a sixteenth-century painting is a stub. You can help Wikipedia by expanding it."
http://www.wikidata.org/entity/Q7053068,"Normandy Thatched Cottage, Old Trouville (French: Chaumière normande, vieux Trouville) is an oil painting by French artist Paul Huet. It is currently on display at the Musée du Louvre in Paris.[1]

This article about a nineteenth-century painting is a stub. You can help Wikipedia by expanding it."
http://www.wikidata.org/entity/Q1224572,"

Bonaparte Crossing the Alps (sometimes called Napoleon Crossing the Alps, which is also the title of Jacques-Louis David's better-known version of the subject) is a 1848–1850[2] oil painting by French artist Paul Delaroche.[3][4] The painting depicts Napoleon Bonaparte leading his army through the Alps on a mule,[I] a journey Napoleon and his army of soldiers made in the spring of 1800[5] in an attempt to surprise the Austrian army in Italy.[6][7]
Several versions of this painting exist: in the Louvre- Lens and the Walker Art Gallery in Liverpool, England. Queen Victoria owned a small version of it.[8]

The work was inspired by Jacques-Louis David's series of five paintings of Napoleon Crossing the Alps (1801–1805), which present a glorified vision of Napoleon ""calm on a spirited horse""[9] rather than a mule, crossing Great St. Bernard Pass. 

As part of his 1798 campaign during the French Revolutionary Wars, Napoleon prepared to invade and conquer Egypt, which was at the time a province of the Ottoman Empire.[10] Such a military action promised numerous benefits, including securing French trade interests, and inhibiting British access to India. By 1 July 1798, Napoleon had landed on the shores of Egypt.[11] After a lengthy chain of conflicts with heavy casualties, the campaign resulted in an Ottoman-British victory. Napoleon received news from France that Austrian forces had retaken Italy and he decided to return to Paris.[citation needed]

In order to regain the upper hand, he planned to launch a surprise assault on the Austrian army stationed in the Cisalpine Republic. Based on the assumption the Austrians would never expect Napoleon's large force to be able to traverse the Alps, he chose that as his route.[12] He selected the shortest route through the Alps, the Great St Bernard Pass, which would enable him to reach his destination as quickly as possible.[13][14]

On 15 May 1800, Napoleon and his army of 40,000—not including the field artillery and baggage trains—(35,000 light artillery and infantry, 5,000 cavalry) began the arduous journey through the mountains.[15][16][17][II] During the five days spent traversing the pass, Napoleon's army consumed almost 22,000 bottles of wine, more than a tonne and a half of cheese, and around 800 kilograms of meat.[15]

After crossing the Alps, Napoleon commenced military operations against the Austrian army. Despite an inauspicious start to the campaign, the Austrian forces were driven back to Marengo after nearly a month. There, a large battle took place on 14 June, which resulted in the Austrian evacuation of Italy.[2]

Delaroche, who studied with Antoine-Jean Gros, a protege of David, was a popular French painter of portraits and grand subjects from history and the Bible.[18][19][20]

The Liverpool painting was commissioned by Arthur George, Third Earl of Onslow, after Delaroche and George reportedly visited the Louvre in Paris, where they saw David's version of the famous event. It had only recently been re-hung in the museum after a resurgence of interest in Napoleon, nearly 40 years after he was exiled.[IV] Agreeing that the painting was unrealistic, George, who owned a sizable collection of Napoleonic paraphernalia, commissioned Delaroche to create a more realistic depiction.[21] Elizabeth Foucart-Walker asserts that in fact the painting that hangs in the Louvre-Lens was produced first as it was already in America by 1850, when the Liverpool painting was produced. Stephen Bann suggests that Arthur George's meeting with Delaroche may have occurred, but Delaroche chose to produce two works that are almost identical and send one to America.[22]

Unconscious of the dreary wastes around, 

Of sleet that pierces with each fitful blast, 
The icy peaks, the rough and treacherous ground, 
Huge snow-drifts by the whirlwind's breath amassed, 
Through which the jaded mule with noiseless tread, 
Patient and slow, a certain foothold seeks, 
By the old peasant-guide so meekly led; 
Moves the wan conqueror, with sunken cheeks, 
O'er heights as cold and lonely as his soul,- 
The chill lips blandly set, and the dark eyes 
Intent with fierce ambition's vast control, 
Sad, keen and thoughtful of the distant prize; 
With the imperial robes and warlike steed, 


That face ne'er wore such blended might and need![23]
The work, despite its attempt to depict Napoleon realistically, was criticised by several authorities for a variety of reasons. A few disapproved of Delaroche's choice of painting, while others disapproved of Delaroche himself, saying, in some form, that he sought the genius of Napoleon, to no avail.[24]

Soon after its completion, the work was taken to England, and there, in 1850, it was reviewed by the critic of the Atheneum,[VI] a literary magazine.[25] The magazine's comments on the work indicated that, while they praised the painting for several of its features, they criticised Delaroche, for various reasons:

An Officer in a French costume, mounted on a mule, is conducted by a rough peasant through a dangerous pass, whose traces are scarcely discernible through the deep-lying snow; and his aide-de-camp is just visible in a ravine of the towering Alps. These facts are rendered with a fidelity that has not omitted the plait of a drapery, the shaggy texture of the four-footed animal, nor a detail of the harness on his back. The drifting of the embedded snow, the pendent icicle which a solitary sun-ray in a transient moment has made-all are given with a truth which will be dear to those who exalt the Dutch School for like qualities into the foremost rank of excellence. But the lofty and daring genius that led the humble Lieutenant of Ajaccio to be ruler and arbiter of the destinies of the larger part of Europe will be sought in vain by M. Delaroche.[24]
Some were displeased with Delaroche's work at the time in general, and, in part, Bonaparte Crossing the Alps, criticising what was described as his 'lowered standards in art'. Such critics included The Gentleman's Magazine, who wrote the following text about Delaroche:

These all reveal a modification in his style, but not a happy one. His more recent works are not calculated to restore him the sympathy he had lost. It must be confessed that Delaroche is an artist of talent rather than a genius. Education and diligent study qualified him to be a painter, but not an artist, in the true sense of that word. For he has failed in the true mission of the artist-that of advancing the education of the masses; when it was in his power to give an impulse, he yielded to it; he has been a reflection, but not a light; and instead of elevating the public to himself, he has lowered himself to the public.[26]

"
http://www.wikidata.org/entity/Q3208369,"Andromache Mourning Hector is a 1783 oil-on-canvas painting by the French Neoclassical artist Jacques-Louis David. The painting depicts an image from Homer's Iliad, showing Andromache, comforted by her son, Astyanax, mourning over her husband Hector, who has been killed by Achilles.[1] This painting, presented on 23 August 1783, brought David election to the Académie Royale in 1784.[2]
"
http://www.wikidata.org/entity/Q14940548,"Young Girl in a Park is an oil-on-canvas painting by French artist Berthe Morisot, created between 1888 and 1893. It has the dimensions of 90 by 81 cm. It is held at the Musée des Augustins in Toulouse.[1]

This canvas, in an almost square format, is a portrait of a young girl named Jeanne-Marie, who also would pose for Julie Manet, the artist's daughter.[1] Morisot began this work in 1888 but quickly abandoned it. She waited until 1893 to return to it and complete it, two years before she died. In 1892, on the occasion of her personal exhibition, the work was not finished and couldn't be shown to the public. The model of the work can be found in several works by Berthe Morisot, including Young Girl Leaning (1887) and Young Woman with a Hat (1888). Jeanne-Marie began posing for this painting in 1888, but in 1893, when Morisot resumed work on it, she was no longer available. The artist decided to continue the work despite the absence of a model, drawing inspiration from her daughter, which explains the slightly fixed appearance of the young girl's face.

The young girl faces us, monumentalized by a frontal position. She is seated on a bench, in the foreground of the work, slightly off center to the right. The frame cuts it through her legs. She is surrounded by a lush garden and wears a large English hat in beige tones. Her wavy red hair falls over her shoulders framing a soft, fixed face, on which a smile is sketched. The curves drawn by the vegetation echo those of her body, underlined by the clothing, as well as the roundness of the hat and the undulation of her hair. Only the vertical and horizontal lines of the bench interrupt this intertwining of soft lines.

The top of her garment, mixing shades of blue, white, green and gray, recalls the color of the bench and the flowers to the girl's right. The bottom of her dress, striped with shades of green, recalls the different tones of the vegetation in the background. The light beige of the girl's skin and the darker beige of the hat echo the golden light found at the top left of the canvas, where the vegetation is less abundant.[1]

Morisot develops a painting where the forms dissolve to suggest impressions, an atmosphere linked to the model and the place represented. In this work, it is not only the face of the young girl, her features and her physical particularities that interest Morisot, but also her attitude and the impression she gives. The bust of the young girl is very straight, her pose is restrained, with her hands resting on her thighs, and her gaze remains fixed: the whole portrait seems to reflect a certain uneasiness in the young girl, sitting alone on the bench.

This impression of unease is contrasted, however, with a soft, spring-like light, the harmonious shades and tones and the smile sketched on the young girl's lips. Berthe Morisot suggests an impression of movement in the vegetation and in the model's hair, as if a light wind was crossing the garden. The harmony and the softness of the landscape produces a peaceful atmosphere which attenuates the stiffness of the young girl.

The work, by its date of creation and by the aesthetics that develops there – an aesthetics of impression and sensations, of movement and of nature, an aesthetics where forms dissolve, where the touch is broad and where colors and light have a more important role than line and drawing belongs to the current of Impressionism which developed in the last quarter of the 19th century. Morisot was part of this artistic current, alongside artists like Édouard Manet, Edgar Degas and Pierre-Auguste Renoir, with whom she maintained an important artistic relationship.[1]

This painting was exhibited for the first time in 1896, during a posthumous exhibition of the artist, under the title On the Bench, with the dates of ""1888-1893"". Her daughter, Julie Manet, and her husband Ernest Rouart, a watercolor painter, both heirs to the artist's work, lend Young Girl in a Park to the “Libre Esthétique” exhibition in Brussels, Belgium, from February 25 to March 29, 1904, a retrospective on impressionist painting, where the critics gave Berthe Morisot her rightful place, alongside the greatest artists of the late 19th century. Juliet Manet and Ernest Rouart donated the painting to the Musée des Augustins, in Toulouse, in 1905.[2]

The work has since been kept in the Salon Rouge of the Musée des Augustins in Toulouse, a room that brings together 19th and early 20th century art in France.
"
http://www.wikidata.org/entity/Q591762,"The Isenheim Altarpiece is an altarpiece sculpted and painted by, respectively, the Germans Nikolaus of Haguenau and Matthias Grünewald in 1512–1516.[1] It is on display at the Unterlinden Museum at Colmar, Alsace, in France. It is Grünewald's largest work and is regarded as his masterpiece. It was painted for the Monastery of St. Anthony in Issenheim near Colmar, which specialized in hospital work. The Antonine monks of the monastery were noted for their care of plague sufferers as well as for their treatment of skin diseases, such as ergotism. The image of the crucified Christ is pitted with plague-type sores, showing patients that Jesus understood and shared their afflictions. The veracity of the work's depictions of medical conditions was unusual in the history of European art.[2]

The altarpiece has two sets of wings, displaying three configurations:

Wings closed:

With the exception of certain holy days, the wings of the altarpiece were kept closed, displaying The Crucifixion framed on the left by the martyrdom of Saint Sebastian pierced by arrows and on the right by Saint Anthony the Great, who remains placid even while being taunted by a frightening monster. The two saints protect and heal the sick, Saint Anthony as the patron saint of the victims of Saint Anthony's fire, and Saint Sebastian, whose aid was invoked to ward off the plague. Grünewald's Crucifixion stands as one of the most poignant representations of this scene in Western art, due to the artist's masterful depiction of horrific agony, with Christ's emaciated body writhing under the pain of the nails driven through his hands and feet. This body covered with sores and riddled with thorns must have terrified the sick, but it also left no doubt about Christ's suffering, thus comforting them in their communion with the Saviour, whose pain they shared. ""Grünewald depicts Jesus' body ravaged by crucifixion yet evokes pointedly the Christian message of Jesus' horrible suffering; originally intended for a hospital, the altar painting may have been designed to provide comfort and solace to the sick.""[3] Mary, the mother of Jesus, is shown at Christ's right, collapsing in anguish in the arms of John, the beloved disciple of Christ, and shrouded in a large piece of white cloth. Also at Christ's right is Mary Magdalene, kneeling with hands clasped in prayer.

At Christ's left, John the Baptist is accompanied by a lamb, symbolising the sacrifice of Jesus. The presence of John the Baptist is anachronistic. Beheaded by order of Herod in 29 AD, he could not possibly have witnessed the death of Christ. This last figure announces the New Testament by crying out in Latin, illum oportet crescere me autem minui (Vulgate, John 3:30), ""He must increase, but I must decrease.""[4] The inclusion of John the Baptist in this scene is symbolic, since he is considered as the last of the prophets to announce the coming of the Messiah.

Outer wings opened:

The outer wings of the Isenheim Altarpiece were opened for important festivals of the liturgical year, particularly those in honour of the Virgin Mary.
Thus are revealed four scenes: the left wing represents the Annunciation during which the archangel Gabriel comes to announce to Mary that she will give birth to Jesus, the son of God. The Virgin Mary is depicted in a chapel to indicate the sacred character of the event. In the central corpus, the Concert of Angels and the Nativity are not independent scenes but instead fit within a unified concept: the viewer witnesses Christ's coming to earth as a newborn baby, who will be led to combat the forces of evil personified by certain of the angels, disturbing in their physical appearance. 

A number of symbols provide keys to aid in interpretation: the enclosed garden represents Mary's womb and is a sign of her perpetual virginity, the rose bush without thorns refers to her as free of original sin, the fig tree symbolises mother's milk. The bed, the bucket and the chamber pot underscore the human nature of Christ. Lastly, the right wing shows the Resurrection, in which Christ emerges from the tomb and ascends into Heaven bathed in light transfiguring the countenance of the Crucified into the face of God. The Resurrection and the Ascension are therefore encapsulated in a single image.

Inner wings opened:

– The sculptures of Saint Augustine and Guy Guers, Saint Anthony, Two Bearers of Offerings, Saint Jerome, Christ and the Twelve Apostles are by Niclaus of Haguenau.  With its inner wings open, the altarpiece allowed pilgrims and the afflicted to venerate Saint Anthony, protector and healer of Saint Anthony's fire. Saint Anthony occupies the place of honour at the centre of the corpus and at his side a pig is depicted, the emblem of the Antonite order. On his left and right, two bearers of offerings illustrate these contributions in kind, an important source of income for the Antonites. This central section is framed by Saint Augustine and Saint Jerome, two of the four great fathers of the Latin Church. Guy Guyers, who had commissioned the Altarpiece, is depicted kneeling at the feet of Saint Augustine.

– Visit of Saint Anthony to Saint Paul the Hermit.
The two hermits meet in a stunning landscape, intended to represent the Theban Desert. Grünewald created a fantastic universe, surrounding the date palm with a strange mixture of vegetation, in marked contrast with the calmness and tranquillity of the encounter, in which the animals in attendance take part, with the crow bringing two morsels of bread to the two recluses. In this dreamlike scene, medicinal plants, painted in naturalistic fashion, sprout at the feet of the two main figures.

– Saint Anthony Tormented by Demons.
This panel depicts Saint Anthony being tormented by monstrous creatures sent by Satan. Trampled to the ground, beaten with sticks, torn by claws and bitten, Saint Anthony appeals to God for help who sends angels to combat these evil demons. In the lower left corner, the being with webbed feet and a distended belly seems to personify the disease caused by ergot poisoning, resulting in swelling and ulcerous growths.

The iconography of the altarpiece has several unusual elements derived from closely following the accounts left by Saint Bridget of Sweden of her mystical visions. These had long had a significant influence on art, especially on depictions of the Nativity of Christ, a scene not included here.

The altarpiece's location in Alsace has meant that, in recent times, control of the work has alternated between Germany and France according to the fortunes of war.[5] Following the Franco-Prussian war of 1870-71 and the passing of control to Germany, German writers developed the concept that the altarpiece somehow represented the essential character of the German nation. The work subsequently became an object of extraordinary scenes of veneration in Munich during its temporary relocation there during the First World War, and again when Alsace passed back into French hands at the end of the War.[5]

In the immediate postwar period the altarpiece, with its strong overtones of violent sensation and emotion, became a natural source of inspiration for many painters in the influential Expressionist school, such as George Grosz and Otto Dix.[6][7] It also provided the basis for Paul Hindemith's modernist opera Mathis der Maler. In the later 1930s, it appears to have suffered a temporary decline in official esteem in Germany as a result of the National Socialists’ branding of both Expressionism and of Hindemith's work as ""degenerate"".[8]

Due to renovation work in the former convent and until April 2015, the Isenheim Altarpiece was on view in the local Dominican Church, located about 200 metres from the Unterlinden Museum. This temporary transfer offered an exceptional and unprecedented opportunity to present, alongside Grünewald and Haguenau's monumental masterwork, all three painted works by the Colmar native Martin Schongauer held in Colmar: the Orlier Altarpiece (1470–1475), the Altarpiece of the Dominicans (c. 1480) and the Virgin of the Rose Bush (1473). The altarpiece depicting Saint Catherine and Saint Lawrence (c. 1510) and sculptures from the Late Middle Ages rounded out the presentation.[9]

In mid-2022 the altarpiece was re-shown at the Musée d’Unterlinden after it underwent a cleaning and restoration by a team of restorers led by Anthony Pontabry. Haguenau’s sculptures were restored in the polychrome wood restoration workshop in Paris of the Center for Research and Restoration of Museums of France by a team of sculpture restorers led by Juliette Levy. A study had been conducted by the Research Centre of the Musées de France in 2014 when they determined the state of the altarpiece and established the protocol for its restoration.[10]

In situ

Isenheim Altarpiece: The Resurrection
"
http://www.wikidata.org/entity/Q633587,"Drunkenness of Noah is a painting by the Italian artist Giovanni Bellini. It was finished about 1515. It is kept in the Museum of Fine Arts and Archeology of Besançon, France.

Noah is sleeping naked. The Cup and the bunches of grapes (on the foreground), and the vineyard (in the back) suggests that Noah is drunk. These three sons are represented at his side. Shem and Japhet (left and right) avert their eyes and cover their father with a red cloth. But Ham, the third son, laughs when he see his father.

The work refers to Genesis 9:20–23

20 In those days Noah became a farmer, and he made a vine-garden. 21 And he took of the wine of it and was overcome by drink; and he was uncovered in his tent. 22 And Ham, the father of Canaan, saw his father unclothed, and gave news of it to his two brothers outside. 23 And Shem and Japheth took a robe, and putting it on their backs went in with their faces turned away, and put it over their father so that they might not see him unclothed.[1]"
http://www.wikidata.org/entity/Q3697655,"

The Dead Christ Held by Two Angels is a painting by the Italian Renaissance artist Marco Palmezzano, finished in 1510. It is housed in the Musée du Louvre of Paris, France.

The centre of the scene is occupied by the dead figure of Christ, portrayed with great attention to anatomical details, but also with evident religious piety; the brightness of his body is further enhanced by the dark stone, resembling a black cave, depicted in the background. This contrast can also have the allegorical meaning of Jesus leaving sin and death behind his shoulders. Jesus assumes in this way the evangelic role of proclamation of the end of the dark era of humanity, as also remembered by the presence of the two angels.

The work is influenced by those of Giovanni Bellini, which Palmezzano saw in his sojourn in Venice in 1489–1495.



This article about a sixteenth-century painting is a stub. You can help Wikipedia by expanding it."
